idx,name,company_code,industry,size,year,established_date,ceo,debt_ratio,assets,sales_growth,current_ratio,quick_ratio,inventory_turnover,receivables_turnover,asset_turnover,fixed_asset_turnover,operating_cf,operating_cf_to_assets,operating_cf_to_debt,industry_avg_roe,industry_avg_roa,industry_avg_debt_ratio,roa,roic,division,employee_growth_rate,roe,operating_cf_to_sales,profit_growth,optl,ffoeq,oeneg,cfoint,accounts_payable_turnover,interest_coverage_ratio,noncurrent_asset_turnover,industry_avg_pd,pd,score,grade
2540,(주)한국경제티브이,039340,정보통신업,중견기업,2023,1999-08-31,현승윤,14.92062863,201266381.0,-7.085297879,700.6549635,699.4876917,,939.1096803,41.5579422,465.0595979,11110640.0,5.52036557,42.51857574,12.83769706,-8.323399647,199.244902,5.323035545,2.174302742,상장,2.29,6.243790856,13.49868771,-44.71569233,17.84716015,6.344038784,0,2936.044945,,23.25833065,83.28277395,5.98,0.16,842,A
25366,더블유씨피(주),393890,제조업,중소기업,2022,2016-10-26,최원근,15.36358596,1078240739.0,,414.2506355,368.8109608,,,,44.14786354,33712398.0,3.126611413,23.47740335,6.700285441,3.030629599,292.8512353,5.124825839,4.973635425,상장,,,13.09466359,,40.41026459,3.606971044,0,5015.822746,,87.60261917,,4.39,0.27,776,A
25366,더블유씨피(주),393890,제조업,중소기업,2023,2016-10-26,최원근,35.79560166,1358510063.0,18.463643,111.187292,78.45465945,386.0825602,298.2627242,25.03221394,28.53316784,134317586.0,9.887124848,37.50818548,13.13683595,2.817590129,148.4047922,3.947056151,3.724997634,상장,70.85,5.542084577,44.04052566,-20.0523996,12.95477541,13.42628066,0,7607.428024,12.01895605,26.70739025,36.00565104,3.7,0.21,806,A
2556,(주)케이엘넷,039420,정보통신업,중소기업,2021,1994-03-30,정지원 / 전기정,16.67595236,52733756.0,17.81385795,408.1260582,401.5080425,,3258.106294,100.2202051,226.6213757,8459150.0,16.04124311,112.2351081,4.030201343,0.139237987,311.5527104,12.36756965,12.99490903,상장,-2.02,15.38659187,17.04289035,42.70638658,90.17852084,18.71627317,0,18569.49993,48.69895415,158.4038723,165.7606537,4.39,0.11,891,A
2556,(주)케이엘넷,039420,정보통신업,중소기업,2022,1994-03-30,정지원 / 전기정,18.97380336,60765900.0,1.345943385,348.1306562,347.5858778,,2249.489452,88.63909156,199.8156466,8392850.0,13.81177601,86.60569866,22.83411398,-6.275951607,111.6887758,12.25849366,13.15612326,상장,-3.61,15.47490479,16.6847466,16.66330967,81.82243605,16.43239496,0,19436.44195,19.88202293,193.3415854,160.3198203,4.14,0.12,876,A
2556,(주)케이엘넷,039420,정보통신업,중소기업,2023,1994-03-30,정지원 / 전기정,11.80940783,62589794.0,1.246006861,576.8986684,576.1169017,,2070.571765,82.57309144,217.1807313,8840306.0,14.12419731,133.7254297,12.83769706,-8.323399647,199.244902,13.0060901,12.86254083,상장,-4.81,15.20818025,17.35799458,4.778347675,125.6763754,15.79218137,0,15574.33847,19.25959544,156.2693175,158.3451103,5.98,0.11,885,A
25367,오픈엣지테크놀로지(주),394280,정보통신업,중소기업,2022,2017-12-06,이성현,66.99624337,53855198.0,,241.8586076,241.8586076,,,,388.3232539,-26690718.0,-49.56015202,-123.5346759,22.83411398,-6.275951607,111.6887758,-46.84143952,-56.03689807,상장,,,-266.5955831,,-116.9190605,-82.76359208,0,-4855.19714,,-45.16065013,,4.14,6.34,381,B
25367,오픈엣지테크놀로지(주),394280,정보통신업,중소기업,2023,2017-12-06,이성현,117.2556586,44692020.0,95.71687612,151.1033099,150.9994508,,350.6248535,39.76685166,630.7556489,-19888543.0,-44.50132932,-82.45372314,12.83769706,-8.323399647,199.244902,-33.24089401,-40.71476034,상장,18.42,-56.25097689,-101.5003141,-37.20108396,-65.76822837,-96.68165609,0,-2509.934212,,-17.43651698,160.6053732,5.98,13.31,280,C
2560,(주)에스티아이,039440,제조업,중견기업,2021,1997-07-10,서인수 / 이우석,72.60654618,336843432.0,18.73367497,167.3428083,156.7218147,2503.153326,448.4816406,110.0908554,373.028112,-59711098.0,-17.7266624,-42.14135134,-82.76486438,2.859484577,296.1260635,6.886592344,8.480471255,상장,5.57,12.61748211,-18.68810161,65.89257744,18.04306686,-30.59737972,0,-16976.40179,7.526847038,76.60805163,297.8866867,4.5,2.84,484,B
2560,(주)에스티아이,039440,제조업,중견기업,2022,1997-07-10,서인수 / 이우석,49.98041363,328877177.0,32.20665609,207.0888614,186.4729481,2079.309297,402.9192819,126.9057164,508.7379009,71544702.0,21.75423137,65.27974424,6.700285441,3.030629599,292.8512353,9.075114993,12.82222928,상장,10.56,14.40335045,16.93691422,35.9889871,31.72208044,32.62708619,0,9199.441692,7.157692617,46.40505486,408.9649482,4.39,0.16,838,A
